timestamp,open,high,low,close,volume
2025-05-07 14:00:00,147.17,147.17,147.08,147.08,279.567
2025-05-07 14:15:00,147.05,147.49,146.93,147.46,4782.184
2025-05-07 14:30:00,147.44,147.51,147.01,147.1,3383.512
2025-05-07 14:45:00,147.16,147.16,145.81,146.11,6705.49
2025-05-07 15:00:00,146.12,146.17,145.66,146.07,5369.566
2025-05-07 15:15:00,146.07,146.29,145.88,146.29,2117.684
2025-05-07 15:30:00,146.29,146.29,146.29,146.29,0.0
2025-05-07 15:45:00,146.29,146.32,145.54,145.79,3506.258
2025-05-07 16:00:00,145.78,145.78,145.23,145.47,4695.456
2025-05-07 16:15:00,145.47,145.47,145.14,145.14,3701.729
2025-05-07 16:30:00,145.1,145.7,145.1,145.7,5191.39
2025-05-07 16:45:00,145.75,146.45,145.74,146.23,6049.646
2025-05-07 17:00:00,146.2,146.46,146.2,146.35,4401.928
2025-05-07 17:15:00,146.38,146.58,145.92,146.01,4223.472
2025-05-07 17:30:00,146.03,146.1,145.74,145.87,6657.066
2025-05-07 17:45:00,145.87,146.19,145.18,145.5,5952.642
2025-05-07 18:00:00,145.51,146.34,144.77,145.31,10804.174
2025-05-07 18:15:00,145.31,146.89,145.26,146.73,9128.179
2025-05-07 18:30:00,146.73,147.29,146.42,146.42,10821.35
2025-05-07 18:45:00,146.42,146.47,145.67,146.19,7582.625
2025-05-07 19:00:00,146.21,146.73,146.09,146.68,8383.878
2025-05-07 19:15:00,146.68,146.75,145.51,145.51,7315.405
2025-05-07 19:30:00,145.5,146.19,145.28,146.19,9738.84
2025-05-07 19:45:00,146.19,146.58,145.56,145.81,8622.691
2025-05-07 20:00:00,145.83,146.2,145.61,146.2,7575.865
2025-05-07 20:15:00,146.2,146.26,145.83,145.93,4287.129
2025-05-07 20:30:00,145.93,146.13,145.49,145.66,6605.433
2025-05-07 20:45:00,145.67,145.96,145.58,145.96,4211.341
2025-05-07 21:00:00,145.96,146.65,145.91,146.62,4205.462
2025-05-07 21:15:00,146.62,147.14,146.62,147.14,3930.924
2025-05-07 21:30:00,147.14,147.88,146.95,147.21,6143.385
2025-05-07 21:45:00,147.19,147.49,147.1,147.43,4953.029
2025-05-07 22:00:00,147.44,147.81,147.29,147.64,6315.224
2025-05-07 22:15:00,147.64,147.66,147.25,147.58,4254.052
2025-05-07 22:30:00,147.57,147.83,147.53,147.81,4211.177
2025-05-07 22:45:00,147.8,147.95,147.64,147.71,4258.273
2025-05-07 23:00:00,147.72,148.34,147.72,148.03,5992.337
2025-05-07 23:15:00,148.03,148.29,147.78,147.78,3102.843
2025-05-07 23:30:00,147.77,147.84,147.3,147.41,2313.421
2025-05-07 23:45:00,147.4,147.49,147.14,147.29,2201.884
2025-05-08 00:00:00,147.32,147.54,147.27,147.4,5458.834
2025-05-08 00:15:00,147.41,147.61,147.35,147.44,3542.164
2025-05-08 00:30:00,147.44,147.63,147.12,147.22,5901.435
2025-05-08 00:45:00,147.22,148.75,147.12,148.73,4899.18
2025-05-08 01:00:00,148.73,149.89,148.71,148.75,7252.511
2025-05-08 01:15:00,148.71,148.92,148.5,148.9,5669.1
2025-05-08 01:30:00,148.9,148.9,148.41,148.43,4535.683
2025-05-08 01:45:00,148.43,148.64,147.1,148.12,4594.481
2025-05-08 02:00:00,148.12,148.93,148.07,148.85,3690.695
2025-05-08 02:15:00,148.85,149.88,148.75,149.84,6253.934
2025-05-08 02:30:00,149.77,150.16,149.68,149.77,5087.525
2025-05-08 02:45:00,149.78,150.26,149.76,149.78,4548.576
2025-05-08 03:00:00,149.8,150.31,149.65,150.08,4947.654
2025-05-08 03:15:00,150.09,150.34,150.04,150.12,5125.649
2025-05-08 03:30:00,150.13,150.79,149.92,150.79,6424.369
2025-05-08 03:45:00,150.79,150.94,150.29,150.91,5037.562
2025-05-08 04:00:00,150.9,151.74,150.88,151.4,5008.43
2025-05-08 04:15:00,151.41,151.89,151.41,151.54,4285.723
2025-05-08 04:30:00,151.64,151.72,151.27,151.27,5671.631
2025-05-08 04:45:00,151.27,151.3,150.97,150.98,3700.965
2025-05-08 05:00:00,150.92,151.19,150.6,150.6,4275.76
2025-05-08 05:15:00,150.56,150.56,150.06,150.3,3512.591
2025-05-08 05:30:00,150.37,150.54,150.26,150.47,3105.833
2025-05-08 05:45:00,150.43,150.47,150.14,150.19,2402.542
2025-05-08 06:00:00,150.16,150.44,150.11,150.44,2863.7
2025-05-08 06:15:00,150.44,150.52,150.33,150.4,2560.555
2025-05-08 06:30:00,150.38,150.5,150.3,150.48,3015.451
2025-05-08 06:45:00,150.43,150.58,150.34,150.58,2758.717
2025-05-08 07:00:00,150.61,151.06,150.56,150.87,5367.048
2025-05-08 07:15:00,150.88,151.44,150.53,151.44,5862.786
2025-05-08 07:30:00,151.44,151.84,151.32,151.74,3996.413
2025-05-08 07:45:00,151.74,151.81,151.59,151.59,2787.709
2025-05-08 08:00:00,151.57,152.34,151.57,152.18,6608.41
2025-05-08 08:15:00,152.16,152.52,152.15,152.31,4107.309
2025-05-08 08:30:00,152.32,152.93,152.2,152.92,6766.04
2025-05-08 08:45:00,152.94,153.26,152.71,152.71,4457.637
2025-05-08 09:00:00,152.71,152.86,152.6,152.62,3257.674
2025-05-08 09:15:00,152.62,153.02,152.55,152.76,4454.58
2025-05-08 09:30:00,152.76,153.2,152.76,153.18,4547.339
2025-05-08 09:45:00,153.2,154.21,153.2,154.19,5825.771
2025-05-08 10:00:00,154.21,155.14,154.08,154.69,8877.135
2025-05-08 10:15:00,154.63,155.25,154.63,155.18,8434.328
2025-05-08 10:30:00,155.17,155.24,154.67,154.75,4339.62
2025-05-08 10:45:00,154.75,155.06,154.72,154.89,3852.617
2025-05-08 11:00:00,154.89,154.9,154.36,154.78,4529.788
2025-05-08 11:15:00,154.68,154.7,154.19,154.25,4783.774
2025-05-08 11:30:00,154.25,154.29,153.72,154.22,3941.602
2025-05-08 11:45:00,154.18,154.59,154.14,154.54,3693.833
2025-05-08 12:00:00,154.54,163.21,154.26,154.6,5902.21
2025-05-08 12:15:00,154.6,155.16,154.47,155.16,4393.128
2025-05-08 12:30:00,155.16,155.55,154.77,154.78,7503.356
